type,value,startDate,endDate,sleepDurationHours
HKQuantityTypeIdentifierHeartRate,75.0,2024-09-19 19:01:06-04:00,2024-09-19 19:01:06-04:00,
HKQuantityTypeIdentifierHeartRate,81.205,2024-09-19 19:02:11-04:00,2024-09-19 19:02:11-04:00,
HKQuantityTypeIdentifierHeartRate,79.0,2024-09-19 19:03:15-04:00,2024-09-19 19:03:15-04:00,
HKQuantityTypeIdentifierHeartRate,76.0,2024-09-19 19:06:40-04:00,2024-09-19 19:06:40-04:00,
HKQuantityTypeIdentifierHeartRate,75.0,2024-09-19 19:14:13-04:00,2024-09-19 19:14:13-04:00,
HKQuantityTypeIdentifierHeartRate,71.0,2024-09-19 19:18:33-04:00,2024-09-19 19:18:33-04:00,
HKQuantityTypeIdentifierHeartRate,69.0,2024-09-19 19:24:48-04:00,2024-09-19 19:24:48-04:00,
HKQuantityTypeIdentifierHeartRate,75.0,2024-09-19 19:26:34-04:00,2024-09-19 19:26:34-04:00,
HKQuantityTypeIdentifierHeartRate,97.0,2024-09-19 19:35:29-04:00,2024-09-19 19:35:29-04:00,
HKQuantityTypeIdentifierHeartRate,84.0,2024-09-19 19:38:16-04:00,2024-09-19 19:38:16-04:00,
HKQuantityTypeIdentifierHeartRate,75.0,2024-09-19 19:43:34-04:00,2024-09-19 19:43:34-04:00,
HKQuantityTypeIdentifierHeartRate,76.0,2024-09-19 19:46:49-04:00,2024-09-19 19:46:49-04:00,
HKQuantityTypeIdentifierHeartRate,82.0,2024-09-19 19:54:34-04:00,2024-09-19 19:54:34-04:00,
HKQuantityTypeIdentifierHeartRate,83.0,2024-09-19 20:01:05-04:00,2024-09-19 20:01:05-04:00,
HKQuantityTypeIdentifierHeartRate,87.0,2024-09-19 20:02:55-04:00,2024-09-19 20:02:55-04:00,
HKQuantityTypeIdentifierHeartRate,84.0,2024-09-19 20:08:54-04:00,2024-09-19 20:08:54-04:00,
HKQuantityTypeIdentifierHeartRate,89.0,2024-09-19 20:14:02-04:00,2024-09-19 20:14:02-04:00,
